ticker    ,name                                                                                   ,industry                                             ,market_cap   ,composite_quality_score,quality_tier
USLM      ,United States Lime & Minerals Inc.                                                     ,Construction Materials                               ,3536.35      ,72.70294484263012      ,High
PH        ,Parker-Hannifin Corporation                                                            ,Machinery                                            ,119675.47    ,72.67746961670302      ,High
6701      ,NEC Corporation                                                                        ,IT Services                                          ,48208.74     ,72.65682455593645      ,High
FSS       ,Federal Signal Corporation                                                             ,Machinery                                            ,6584.35      ,72.53661576815209      ,High
ETN       ,Eaton Corporation plc                                                                  ,Electrical Equipment                                 ,137637.31    ,72.50794640074791      ,High
MZX       ,Masterflex SE                                                                          ,Machinery                                            ,159.16       ,72.5053755063883       ,High
GRUMAB    ,Gruma S.A.B. de C.V.                                                                   ,Food Products                                        ,6236.52      ,72.49945465877222      ,High
4401      ,Adeka Corporation                                                                      ,Chemicals                                            ,2933.92      ,72.48122468058587      ,High
A278470   ,APR Co. Ltd.                                                                           ,Personal Care Products                               ,7224.89      ,72.45278903085074      ,High
ITRN      ,Ituran Location and Control Ltd.                                                       ,Communications Equipment                             ,902.77       ,72.2844344032409       ,High
DXPE      ,DXP Enterprises Inc.                                                                   ,Trading Companies and Distributors                   ,2037.21      ,72.26511374259896      ,High
DOL       ,Dollarama Inc.                                                                         ,Broadline Retail                                     ,37513.91     ,72.24820816453726      ,High
FTNT      ,Fortinet Inc.                                                                          ,Software                                             ,60614.76     ,72.23956061078219      ,High
MTRX      ,Matrix IT Ltd.                                                                         ,IT Services                                          ,2857.14      ,72.23184792770336      ,High
MBSC      ,Misr Beni Suef Cement Co. S.A.E                                                        ,Construction Materials                               ,312.69       ,72.22795263321909      ,High
IDR       ,Indra Sistemas S.A.                                                                    ,IT Services                                          ,11440.51     ,72.22678404487381      ,High
LOGO      ,Logo Yazilim Sanayi ve Ticaret A.S.                                                    ,Software                                             ,368.86       ,72.220551573699        ,High
MATX      ,Matson Inc.                                                                            ,Marine Transportation                                ,5028.4       ,72.18759738236213      ,High
000975    ,Shanjin International Gold Co. Ltd.                                                    ,Metals and Mining                                    ,15459.97     ,72.16586163913993      ,High
FOXA      ,Fox Corporation                                                                        ,Media                                                ,30210.8      ,72.12036459956374      ,High
9364      ,Kamigumi Co. Ltd.                                                                      ,Transportation Infrastructure                        ,3495.5       ,72.07151760673109      ,High
ORS       ,Orsero S.p.A.                                                                          ,Consumer Staples Distribution and Retail             ,385.69       ,72.05328762854474      ,High
HALO      ,Halozyme Therapeutics Inc.                                                             ,Biotechnology                                        ,8624.56      ,72.04245870987849      ,High
MEDP      ,Medpace Holdings Inc.                                                                  ,Life Sciences Tools and Services                     ,16705.73     ,71.95839825490809      ,High
NHY       ,Norsk Hydro ASA                                                                        ,Metals and Mining                                    ,18349.31     ,71.94125895917732      ,High
BOPP      ,Benso Oil Palm Plantation PLC                                                          ,Food Products                                        ,199.7        ,71.92232782798382      ,High
A042700   ,HANMI Semiconductor Co. Ltd.                                                           ,Semiconductors and Semiconductor Equipment           ,13474.85     ,71.89163290744781      ,High
ART       ,Arteche Lantegi Elkartea S.A.                                                          ,Electrical Equipment                                 ,1525.77      ,71.8452009971954       ,High
500480    ,Cummins India Limited                                                                  ,Machinery                                            ,12190.62     ,71.82642567778126      ,High
ACT       ,AlzChem Group AG                                                                       ,Chemicals                                            ,1899.84      ,71.8172327827984       ,High
MYRG      ,MYR Group Inc.                                                                         ,Construction and Engineering                         ,3953.04      ,71.80328762854474      ,High
UTHR      ,United Therapeutics Corporation                                                        ,Biotechnology                                        ,20137.57     ,71.77235899033967      ,High
GUINNESS  ,Guinness Nigeria Plc                                                                   ,Beverages                                            ,553.09       ,71.6739638516672       ,High
ORLY      ,O'Reilly Automotive Inc.                                                               ,Specialty Retail                                     ,83439.69     ,71.62044250545343      ,High
189       ,Dongyue Group Limited                                                                  ,Chemicals                                            ,2794.95      ,71.61717045808665      ,High
505200    ,Eicher Motors Limited                                                                  ,Automobiles                                          ,21060.93     ,71.56380492365226      ,High
G1A       ,GEA Group Aktiengesellschaft                                                           ,Machinery                                            ,11767.62     ,71.53092863820505      ,High
OLLI      ,Ollie's Bargain Outlet Holdings Inc.                                                   ,Broadline Retail                                     ,6578.53      ,71.5059208476161       ,High
THR       ,Thermon Group Holdings Inc.                                                            ,Electrical Equipment                                 ,1496.85      ,71.45722966656281      ,High
STRL      ,Sterling Infrastructure Inc.                                                           ,Construction and Engineering                         ,11649.71     ,71.39030850732317      ,High
RYA       ,Ryanair Holdings plc                                                                   ,Passenger Airlines                                   ,35413.09     ,71.38353069492055      ,High
532454    ,Bharti Airtel Limited                                                                  ,Wireless Telecommunication Services                  ,128730.8     ,71.3045341227797       ,High
RMBS      ,Rambus Inc.                                                                            ,Semiconductors and Semiconductor Equipment           ,13090.26     ,71.2940168276722       ,High
GRGD      ,Groupe Dynamite Inc.                                                                   ,Specialty Retail                                     ,5688.8       ,71.26082891866626      ,High
NSSC      ,Napco Security Technologies Inc.                                                       ,Electronic Equipment Instruments and Components      ,1365.94      ,71.2510906824556       ,High
2360      ,Chroma ATE Inc.                                                                        ,Electronic Equipment Instruments and Components      ,13705.9      ,71.20948893736367      ,High
2059      ,King Slide Works Co. Ltd.                                                              ,Technology Hardware Storage and Peripherals          ,9734.73      ,71.11054845746341      ,High
WGO       ,Winnebago Industries Inc.                                                              ,Automobiles                                          ,1316.49      ,71.05866313493303      ,High
2404      ,United Integrated Services Co. Ltd.                                                    ,Construction and Engineering                         ,5710.19      ,71.0084917419757       ,High
IDCC      ,InterDigital Inc.                                                                      ,Software                                             ,8519.64      ,71.00077905889687      ,High
ZM        ,Zoom Communications Inc.                                                               ,Software                                             ,27413.03     ,70.99719538797135      ,High
CAT       ,Caterpillar Inc.                                                                       ,Machinery                                            ,311318.75    ,70.87823309442196      ,High
CPLE3     ,Companhia Paranaense de Energia - COPEL                                                ,Electric Utilities                                   ,7490.46      ,70.87550638828299      ,High
TRGP      ,Targa Resources Corp.                                                                  ,Oil Gas and Consumable Fuels                         ,43257.99     ,70.80913057027114      ,High
HLAN      ,Hilan Ltd.                                                                             ,Professional Services                                ,1844.69      ,70.80593642879403      ,High
CMOCTEZ   ,Corporación Moctezuma S.A.B. de C.V.                                                   ,Construction Materials                               ,4005.28      ,70.7739171081334       ,High
YUMC      ,Yum China Holdings Inc.                                                                ,Hotels Restaurants and Leisure                       ,17815.51     ,70.72070738547835      ,High
ELHA      ,Elvalhalcor Hellenic Copper and Aluminium Industry S.A.                                ,Metals and Mining                                    ,2154.38      ,70.72031785602994      ,High
SSD       ,Simpson Manufacturing Co. Inc.                                                         ,Building Products                                    ,7379.34      ,70.70925521969463      ,High
FVI       ,Fortuna Mining Corp.                                                                   ,Metals and Mining                                    ,3509.65      ,70.65230601433471      ,High
EXENS     ,Exosens                                                                                ,Aerospace and Defense                                ,3244.66      ,70.61070426924277      ,High
IDT       ,IDT Corporation                                                                        ,Diversified Telecommunication Services               ,1206.53      ,70.59707073854786      ,High
6510      ,Chunghwa Precision Test Tech. Co. Ltd.                                                 ,Electronic Equipment Instruments and Components      ,3291.97      ,70.55679339358056      ,High
5274      ,ASPEED Technology Inc.                                                                 ,Semiconductors and Semiconductor Equipment           ,11223.42     ,70.55570271112498      ,High
UHS       ,Universal Health Services Inc.                                                         ,Health Care Providers and Services                   ,12504.62     ,70.5344344032409       ,High
TEL       ,TE Connectivity plc                                                                    ,Electronic Equipment Instruments and Components      ,66395.37     ,70.52641009660333      ,High
ONE       ,One Software Technologies Ltd                                                          ,IT Services                                          ,2136.35      ,70.52095668432536      ,High
COM       ,Comer Industries S.p.A.                                                                ,Machinery                                            ,1706.52      ,70.48402929261455      ,High
523395    ,3M India Limited                                                                       ,Industrial Conglomerates                             ,4251.04      ,70.40121533187911      ,High
300274    ,Sungrow Power Supply Co. Ltd.                                                          ,Electrical Equipment                                 ,43219.2      ,70.38727017762544      ,High
VRC       ,Vercom S.A.                                                                            ,Software                                             ,845.76       ,70.37862262387038      ,High
UGPA3     ,Ultrapar Participações S.A.                                                            ,Specialty Retail                                     ,5208.86      ,70.36569024618262      ,High
9107      ,Kawasaki Kisen Kaisha Ltd.                                                             ,Marine Transportation                                ,9249.12      ,70.3595356808975       ,High
SPAN      ,Span d.d.                                                                              ,IT Services                                          ,155.97       ,70.34971953879715      ,High
KLAC      ,KLA Corporation                                                                        ,Semiconductors and Semiconductor Equipment           ,221357.99    ,70.34925210345902      ,High
CACI      ,CACI International Inc                                                                 ,Professional Services                                ,13762.31     ,70.34372078529138      ,High
AAF       ,Airtel Africa Plc                                                                      ,Wireless Telecommunication Services                  ,17196.79     ,70.32276410096605      ,High
3626      ,TIS Inc.                                                                               ,IT Services                                          ,6581.59      ,70.30757245247743      ,High
FROTO     ,Ford Otomotiv Sanayi A.S.                                                              ,Automobiles                                          ,9059.13      ,70.25841383608604      ,High
HUBG      ,Hub Group Inc.                                                                         ,Air Freight and Logistics                            ,2953.1       ,70.23348395138675      ,High
LOPE      ,Grand Canyon Education Inc.                                                            ,Diversified Consumer Services                        ,4767.53      ,70.22584917419759      ,High
S59       ,SIA Engineering Company Limited                                                        ,Transportation Infrastructure                        ,2947.71      ,70.20372390152697      ,High
TJX       ,The TJX Companies Inc.                                                                 ,Specialty Retail                                     ,163760.58    ,70.18705204113432      ,High
LAUR      ,Laureate Education Inc.                                                                ,Diversified Consumer Services                        ,5057.71      ,70.17910564038644      ,High
ALSTW     ,Streamwide S.A.                                                                        ,Software                                             ,242.21       ,70.16703022748523      ,High
PLPC      ,Preformed Line Products Company                                                        ,Electrical Equipment                                 ,1260.27      ,70.13742598940482      ,High
PMETAL    ,Press Metal Aluminium Holdings Berhad                                                  ,Metals and Mining                                    ,16196.02     ,70.08842318479279      ,High
ALSN      ,Allison Transmission Holdings Inc.                                                     ,Machinery                                            ,9285.0       ,70.0856964786538       ,High
COLL      ,Collegium Pharmaceutical Inc.                                                          ,Pharmaceuticals                                      ,1433.56      ,70.0243845434715       ,High
ADNOCDRILL,ADNOC Drilling Company P.J.S.C.                                                        ,Energy Equipment and Services                        ,23595.77     ,69.99641632907449      ,Above Avg
1318      ,Mao Geping Cosmetics Co. Ltd.                                                          ,Personal Care Products                               ,5489.02      ,69.96883764412591      ,Above Avg
ALKS      ,Alkermes plc                                                                           ,Biotechnology                                        ,5759.3       ,69.87348083515116      ,Above Avg
L         ,Loblaw Companies Limited                                                               ,Consumer Staples Distribution and Retail             ,53883.86     ,69.85361483328141      ,Above Avg
CHKP      ,Check Point Software Technologies Ltd.                                                 ,Software                                             ,19131.69     ,69.8325023371767       ,Above Avg
R3NK      ,RENK Group AG                                                                          ,Machinery                                            ,6606.93      ,69.83047678404489      ,Above Avg
9766      ,Konami Group Corporation                                                               ,Entertainment                                        ,18405.55     ,69.81886880648177      ,Above Avg
600219    ,Shandong Nanshan Aluminium Co.Ltd.                                                     ,Metals and Mining                                    ,13391.8      ,69.80375506388285      ,Above Avg
VFQS      ,Vodafone Qatar P.Q.S.C.                                                                ,Wireless Telecommunication Services                  ,2950.45      ,69.77991586163915      ,Above Avg
VOX       ,Voxel S.A.                                                                             ,Health Care Providers and Services                   ,413.31       ,69.7210190090371       ,Above Avg
2875      ,Toyo Suisan Kaisha Ltd.                                                                ,Food Products                                        ,7059.35      ,69.71907136179497      ,Above Avg
688615    ,Intsig Information Co. Ltd.                                                            ,Software                                             ,5839.38      ,69.66258959177316      ,Above Avg
MLM       ,Martin Marietta Materials Inc.                                                         ,Construction Materials                               ,39400.47     ,69.61927391710815      ,Above Avg
A443060   ,HD HYUNDAI Marine Solution CO.LTD.                                                     ,Machinery                                            ,5786.65      ,69.58320349018386      ,Above Avg
MCQE      ,Misr Cement (Qena) Company (S.A.E)                                                     ,Construction Materials                               ,343.07       ,69.58156746650047      ,Above Avg
OR        ,OR Royalties Inc.                                                                      ,Metals and Mining                                    ,8590.92      ,69.55118416952324      ,Above Avg
A064400   ,LG CNS Co. Ltd.                                                                        ,IT Services                                          ,4754.72      ,69.53607042692428      ,Above Avg
HUG       ,Huuuge Inc.                                                                            ,Entertainment                                        ,280.92       ,69.53092863820507      ,Above Avg
HUBN      ,Huber+Suhner AG                                                                        ,Electrical Equipment                                 ,3741.46      ,69.52290433156747      ,Above Avg
NAKL      ,Ennakl Automobiles S.A.                                                                ,Specialty Retail                                     ,163.0        ,69.51986600186976      ,Above Avg
RACE      ,Ferrari N.V.                                                                           ,Automobiles                                          ,59914.44     ,69.49244312870054      ,Above Avg
KALYANKJIL,Kalyan Jewellers India Limited                                                         ,Textiles Apparel and Luxury Goods                    ,4141.23      ,69.48722343409163      ,Above Avg
MOVE      ,Medacta Group SA                                                                       ,Health Care Equipment and Supplies                   ,4407.63      ,69.47109691492679      ,Above Avg
VYT       ,Vytrus Biotech S.A.                                                                    ,Personal Care Products                               ,85.85        ,69.44024618261142      ,Above Avg
3088      ,MatsukiyoCocokara & Co.                                                                ,Consumer Staples Distribution and Retail             ,6376.22      ,69.41009660330323      ,Above Avg
URBN      ,Urban Outfitters Inc.                                                                  ,Specialty Retail                                     ,6274.84      ,69.40643502648801      ,Above Avg
HRB       ,H&R Block Inc.                                                                         ,Diversified Consumer Services                        ,4914.15      ,69.40238392022438      ,Above Avg
APP       ,AppLovin Corporation                                                                   ,Software                                             ,192377.5     ,69.40035836709257      ,Above Avg
ABS       ,Asseco Business Solutions S.A.                                                         ,Software                                             ,806.56       ,69.35478342162669      ,Above Avg
CEK       ,CeoTronics AG                                                                          ,Communications Equipment                             ,148.73       ,69.34894047990029      ,Above Avg
CHDRAUIB  ,Grupo Comercial Chedraui S.A.B. de C.V.                                                ,Consumer Staples Distribution and Retail             ,6745.75      ,69.34699283265816      ,Above Avg
TGYM      ,Technogym S.p.A.                                                                       ,Leisure Products                                     ,4154.56      ,69.32969772514804      ,Above Avg
ADH       ,ADvTECH Limited                                                                        ,Diversified Consumer Services                        ,1364.26      ,69.30391087566223      ,Above Avg
6920      ,Lasertec Corporation                                                                   ,Semiconductors and Semiconductor Equipment           ,21927.73     ,69.2765659083827       ,Above Avg
4DS       ,Daldrup & Söhne Aktiengesellschaft                                                     ,Energy Equipment and Services                        ,166.65       ,69.26900903708322      ,Above Avg
GVR       ,Glenveagh Properties PLC                                                               ,Household Durables                                   ,1222.55      ,69.24594889373638      ,Above Avg
RL        ,Ralph Lauren Corporation                                                               ,Textiles Apparel and Luxury Goods                    ,21532.89     ,69.23426301028358      ,Above Avg
CRAI      ,CRA International Inc.                                                                 ,Professional Services                                ,1170.38      ,69.23184792770334      ,Above Avg
GOOGL     ,Alphabet Inc.                                                                          ,Interactive Media and Services                       ,4083879.62   ,69.22281084449986      ,Above Avg
3ITN      ,audius SE                                                                              ,IT Services                                          ,80.53        ,69.14926768463697      ,Above Avg
WSM       ,Williams-Sonoma Inc.                                                                   ,Specialty Retail                                     ,24551.84     ,69.1338423184793       ,Above Avg
TOTS3     ,TOTVS S.A.                                                                             ,Software                                             ,5191.68      ,69.10774384543473      ,Above Avg
QLYS      ,Qualys Inc.                                                                            ,Software                                             ,4737.6       ,69.0867092552197       ,Above Avg
RVLV      ,Revolve Group Inc.                                                                     ,Specialty Retail                                     ,2011.63      ,69.04222499220943      ,Above Avg
PAYC      ,Paycom Software Inc.                                                                   ,Professional Services                                ,7376.09      ,69.03482393268932      ,Above Avg
CMH       ,Combined Motor Holdings Limited                                                        ,Specialty Retail                                     ,158.0        ,69.0317856029916       ,Above Avg
WMT       ,Walmart Inc.                                                                           ,Consumer Staples Distribution and Retail             ,935777.3     ,69.02196946089126      ,Above Avg
000893    ,Asia-potash International Investment (Guangzhou)Co.Ltd.                                ,Chemicals                                            ,7533.67      ,68.99470239950142      ,Above Avg
NPKI      ,NPK International Inc.                                                                 ,Trading Companies and Distributors                   ,1168.56      ,68.98839202243691      ,Above Avg
IP        ,Interpump Group S.p.A.                                                                 ,Machinery                                            ,6163.91      ,68.98480835151139      ,Above Avg
KRKG      ,Krka d. d.                                                                             ,Pharmaceuticals                                      ,8189.37      ,68.98340604549706      ,Above Avg
603993    ,CMOC Group Limited                                                                     ,Metals and Mining                                    ,80164.18     ,68.9023060143347       ,Above Avg
DORM      ,Dorman Products Inc.                                                                   ,Automobile Components                                ,3772.96      ,68.89529448426303      ,Above Avg
600096    ,Yunnan Yuntianhua Co. Ltd.                                                             ,Chemicals                                            ,10361.24     ,68.8843097538174       ,Above Avg
WAB       ,Westinghouse Air Brake Technologies Corporation                                        ,Machinery                                            ,39769.77     ,68.857432221876        ,Above Avg
BYIT      ,Bytes Technology Group plc                                                             ,Software                                             ,1087.48      ,68.84800560922407      ,Above Avg
6988      ,Nitto Denko Corporation                                                                ,Chemicals                                            ,14848.69     ,68.83857899657215      ,Above Avg
AAG       ,Aumann AG                                                                              ,Machinery                                            ,222.28       ,68.8251791835463       ,Above Avg
2507      ,Cirrus Aircraft Limited                                                                ,Aerospace and Defense                                ,2848.63      ,68.80796198192584      ,Above Avg
1308      ,SITC International Holdings Company Limited                                            ,Marine Transportation                                ,10280.92     ,68.73114677469617      ,Above Avg
EDV       ,Endeavour Mining plc                                                                   ,Metals and Mining                                    ,14610.43     ,68.68004051106266      ,Above Avg
FFARM     ,ForFarmers N.V.                                                                        ,Food Products                                        ,581.84       ,68.66967902773452      ,Above Avg
VICR      ,Vicor Corporation                                                                      ,Electrical Equipment                                 ,7659.27      ,68.64093175444064      ,Above Avg
BDC       ,Belden Inc.                                                                            ,Electronic Equipment Instruments and Components      ,4705.81      ,68.63282954191338      ,Above Avg
CSL       ,Carlisle Companies Incorporated                                                        ,Building Products                                    ,14256.95     ,68.6258959177314       ,Above Avg
OV8       ,Sheng Siong Group Ltd                                                                  ,Consumer Staples Distribution and Retail             ,3222.9       ,68.60867871611096      ,Above Avg
PRDO      ,Perdoceo Education Corporation                                                         ,Diversified Consumer Services                        ,2043.53      ,68.59707073854786      ,Above Avg
6223      ,MPI Corporation                                                                        ,Semiconductors and Semiconductor Equipment           ,7851.67      ,68.56956995948896      ,Above Avg
FDEV      ,Frontier Developments plc                                                              ,Entertainment                                        ,241.13       ,68.5624805235276       ,Above Avg
ODL       ,Odfjell Drilling Ltd.                                                                  ,Energy Equipment and Services                        ,2351.42      ,68.54806793393583      ,Above Avg
FPE       ,Fope S.p.A.                                                                            ,Textiles Apparel and Luxury Goods                    ,270.95       ,68.51893113119353      ,Above Avg
PMR       ,Premier Group Limited                                                                  ,Food Products                                        ,1499.68      ,68.50038952944844      ,Above Avg
RICHTER   ,Gedeon Richter PLC                                                                     ,Pharmaceuticals                                      ,6060.26      ,68.48644437519478      ,Above Avg
RVRC      ,RVRC Holding AB (publ)                                                                 ,Specialty Retail                                     ,825.71       ,68.48457463384234      ,Above Avg
PRV       ,Porvair plc                                                                            ,Machinery                                            ,549.94       ,68.4519320660642       ,Above Avg
PLNW      ,Planisware SAS                                                                         ,Software                                             ,1679.51      ,68.44305079464009      ,Above Avg
NTPC      ,NTPC Limited                                                                           ,Independent Power and Renewable Electricity Producers,37804.09     ,68.40160486132753      ,Above Avg
600111    ,China Northern Rare Earth (Group) High-Tech Co.Ltd                                     ,Metals and Mining                                    ,29194.21     ,68.39895606107822      ,Above Avg
ULS       ,UL Solutions Inc.                                                                      ,Professional Services                                ,15199.94     ,68.39513867248365      ,Above Avg
RAA       ,RATIONAL Aktiengesellschaft                                                            ,Machinery                                            ,9006.34      ,68.3874259894048       ,Above Avg
IDXX      ,IDEXX Laboratories Inc.                                                                ,Health Care Equipment and Supplies                   ,54036.19     ,68.34411031473981      ,Above Avg
RAYB      ,RaySearch Laboratories AB (publ)                                                       ,Health Care Technology                               ,752.39       ,68.3325802430664       ,Above Avg
TPL       ,Texas Pacific Land Corporation                                                         ,Oil Gas and Consumable Fuels                         ,24349.67     ,68.30749454658775      ,Above Avg
IVU       ,IVU Traffic Technologies AG                                                            ,Software                                             ,441.57       ,68.28443440324091      ,Above Avg
EXPD      ,Expeditors International of Washington Inc.                                            ,Air Freight and Logistics                            ,21644.38     ,68.23021190401995      ,Above Avg
4536      ,Santen Pharmaceutical Co. Ltd.                                                         ,Pharmaceuticals                                      ,3395.26      ,68.22849797444688      ,Above Avg
6098      ,Recruit Holdings Co. Ltd.                                                              ,Professional Services                                ,74736.5      ,68.22397943284514      ,Above Avg
GMR       ,Gaming Realms plc                                                                      ,Entertainment                                        ,156.45       ,68.22000623247119      ,Above Avg
NTAP      ,NetApp Inc.                                                                            ,Technology Hardware Storage and Peripherals          ,19475.27     ,68.21774696167031      ,Above Avg
4403      ,NOF Corporation                                                                        ,Chemicals                                            ,4416.54      ,68.1765347460268       ,Above Avg
000807    ,Yunnan Aluminium Co. Ltd.                                                              ,Metals and Mining                                    ,18467.82     ,68.17256154565285      ,Above Avg
POWERINDIA,Hitachi Energy India Limited                                                           ,Electrical Equipment                                 ,8889.76      ,68.16336865067001      ,Above Avg
4016      ,Middle East Pharmaceutical Industries Company                                          ,Pharmaceuticals                                      ,595.62       ,68.14428170769712      ,Above Avg
4704      ,Trend Micro Incorporated                                                               ,Software                                             ,5191.0       ,68.13945154253663      ,Above Avg
LDOS      ,Leidos Holdings Inc.                                                                   ,Professional Services                                ,23933.21     ,68.10696478653787      ,Above Avg
TIMA      ,ZEAL Network SE                                                                        ,Hotels Restaurants and Leisure                       ,1225.16      ,68.0571050171393       ,Above Avg
GMEXICOB  ,Grupo México S.A.B. de C.V.                                                            ,Metals and Mining                                    ,94308.44     ,68.0571050171393       ,Above Avg
PERSISTENT,Persistent Systems Limited                                                             ,IT Services                                          ,9861.76      ,68.04728887503897      ,Above Avg
